

#             x           ber           bei           ker           kei     Wronskian
#     =========     =========     =========     =========     =========
  0.000000e+00  0.000000e+00  0.000000e+00          -nan          -nan
  3.000000e+00 -1.152157e-01  1.008402e+00 -2.982013e+00 -1.086165e+01
  3.010000e+00 -1.227571e-01  1.007509e+00 -2.885222e+00 -1.097931e+01
  3.020000e+00 -1.302862e-01  1.006563e+00 -2.785380e+00 -1.109765e+01
  3.030000e+00 -1.378028e-01  1.005564e+00 -2.682419e+00 -1.121664e+01
  3.040000e+00 -1.453066e-01  1.004514e+00 -2.576281e+00 -1.133628e+01
  3.050000e+00 -1.527969e-01  1.003411e+00 -2.466907e+00 -1.145655e+01
  3.060000e+00 -1.602737e-01  1.002256e+00 -2.354251e+00 -1.157743e+01
  3.070000e+00 -1.677368e-01  1.001048e+00 -2.238235e+00 -1.169891e+01
  3.080000e+00 -1.751855e-01  9.997890e-01 -2.118816e+00 -1.182096e+01
  3.090000e+00 -1.826198e-01  9.984777e-01 -1.995918e+00 -1.194358e+01
  3.100000e+00 -1.900395e-01  9.971150e-01 -1.869481e+00 -1.206673e+01
  3.110000e+00 -1.974437e-01  9.956992e-01 -1.739463e+00 -1.219040e+01
  3.120000e+00 -2.048327e-01  9.942328e-01 -1.605764e+00 -1.231458e+01
  3.130000e+00 -2.122060e-01  9.927145e-01 -1.468349e+00 -1.243923e+01
  3.140000e+00 -2.195633e-01  9.911446e-01 -1.327137e+00 -1.256433e+01
  3.150000e+00 -2.269041e-01  9.895233e-01 -1.182075e+00 -1.268987e+01
