

                         x                       ber                       bei                       ker                       kei                 Wronskian
  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00                      -nan                      -nan
  1.900000000000000000e+00  7.190096144984084716e-01  7.952792784066871548e-01 -3.771670269524162957e+00 -2.786558010603923104e+00
  1.910000000000000000e+00  7.119858132244611356e-01  7.997157766740092922e-01 -3.801971407231287158e+00 -2.821927055262803610e+00
  1.920000000000000000e+00  7.049410423696580264e-01  8.041155252075733526e-01 -3.832137526345494281e+00 -2.857799443851303153e+00
  1.930000000000000000e+00  6.978756070655224481e-01  8.084781490247534962e-01 -3.862160333059837954e+00 -2.894181219555682365e+00
  1.940000000000000000e+00  6.907898112476690712e-01  8.128032781832766789e-01 -3.892031350735381067e+00 -2.931078446561703416e+00
  1.950000000000000000e+00  6.836839577267263801e-01  8.170905477576543214e-01 -3.921741916835352102e+00 -2.968497208924573765e+00
  1.960000000000000000e+00  6.765583482570112191e-01  8.213395978156113085e-01 -3.951283179820043919e+00 -3.006443609399038806e+00
  1.970000000000000000e+00  6.694132836030097868e-01  8.255500733945198141e-01 -3.980646096002140420e+00 -3.044923768228756926e+00
  1.980000000000000000e+00  6.622490636037179573e-01  8.297216244778451289e-01 -4.009821426362158217e+00 -3.083943821894075293e+00
  1.990000000000000000e+00  6.550659872348923952e-01  8.338539059716103716e-01 -4.038799733323692269e+00 -3.123509921817309246e+00
  2.000000000000000000e+00  6.478643526692625658e-01  8.379465776808866655e-01 -4.067571377488156367e+00 -3.163628233024612569e+00
  2.010000000000000000e+00  6.406444573347524086e-01  8.419993042863150805e-01 -4.096126514328711513e+00 -3.204304932763510067e+00
  2.020000000000000000e+00  6.334065979707591693e-01  8.460117553206663584e-01 -4.124455090843077344e+00 -3.245546209075147800e+00
  2.030000000000000000e+00  6.261510706825356402e-01  8.499836051454441756e-01 -4.152546842164924226e+00 -3.287358259320300136e+00
  2.040000000000000000e+00  6.188781709937208630e-01  8.539145329275374332e-01 -4.180391288133546074e+00 -3.329747288658156252e+00
  2.050000000000000000e+00  6.115881938970631772e-01  8.578042226159268103e-01 -4.207977729821516602e+00 -3.372719508476892039e+00
  2.060000000000000000e+00  6.042814339033783813e-01  8.616523629184505703e-01 -4.235295246020034549e+00 -3.416281134775016478e+00
  2.070000000000000000e+00  5.969581850887846762e-01  8.654586472786343730e-01 -4.262332689681666344e+00 -3.460438386492464404e+00
  2.080000000000000000e+00  5.896187411402550068e-01  8.692227738525896103e-01 -4.289078684320197764e+00 -3.505197483790390220e+00
  2.090000000000000000e+00  5.822633953995263903e-01  8.729444454859845599e-01 -4.315521620367309478e+00 -3.550564646278599551e+00
  2.100000000000000000e+00  5.748924409054048324e-01  8.766233696910924333e-01 -4.341649651485794733e+00 -3.596546091189538015e+00
  2.110000000000000000e+00  5.675061704345034631e-01  8.802592586239201791e-01 -4.367450690839041116e+00 -3.643148031497738241e+00
  2.120000000000000000e+00  5.601048765404505974e-01  8.838518290614217034e-01 -4.392912407316502041e+00 -3.690376673983607998e+00
  2.130000000000000000e+00  5.526888515916035133e-01  8.874008023787989615e-01 -4.418022221714887647e+00 -3.738238217240423769e+00
  2.140000000000000000e+00  5.452583878073028690e-01  8.909059045268941891e-01 -4.442767302874808908e+00 -3.786738849623375395e+00
  2.150000000000000000e+00  5.378137772927018210e-01  8.943668660096763480e-01 -4.467134563772613065e+00 -3.835884747139488367e+00
